Species,Month,Year,Site,Location,Age,Number,Length,Diameter,Taper,TI,Mass,d13C,d15N,CN,Ropey,Segmented,Flat,Scrape
Coyote,April,2012,YOLA,Middle,3,2,6.00,12.5,21.4,1.71,5.05,-29.52,8.91,7.5,1,0,0,0
Bobcat,April,2012,YOLA,OffEdge,5,2,16.50,18.7,23,1.23,10.21,-28.53,5.59,7.84,1,1,0,0
Bobcat,April,2012,ANNU,OffEdge,4,1,16.50,16.5,28.9,1.83,7.11,-27.66,8.06,6.2,1,1,0,0
GrayFox,April,2012,ANNU,Middle,1,1,10.00,NA,NA,NA,5.53,-26.58,8.17,18.9,0,0,1,0
GrayFox,April,2012,ANNU,OffEdge,4,3,13.50,19.1,12.8,0.67,9.23,-28.17,5.88,7.7,0,1,0,0
GrayFox,April,2012,ANNU,Middle,4,2,9.50,18.4,28.8,1.57,4.37,-27.37,4.9,6.6,1,0,0,0
GrayFox,April,2012,ANNU,OffEdge,5,1,12.00,14.7,34.7,2.38,7.97,-26.99,5.87,9.2,1,0,0,0
Bobcat,April,2012,ANNU,OffEdge,3,2,7.00,15.7,20.9,1.33,8.98,-28.17,7.08,6.2,1,1,0,0
GrayFox,April,2012,ANNU,Edge,5,1,10.50,17.7,7.5,0.42,7.14,-25.94,7.56,7.7,0,1,0,0
Bobcat,April,2012,ANNU,Edge,3,6,4.00,20.8,12.4,0.6,25.73,-29.55,8.56,7,0,1,0,0
Bobcat,April,2012,ANNU,OffEdge,4,5,5.00,13.8,18.8,1.36,5.5,-27.72,1.84,6.2,1,1,0,0
Bobcat,May,2013,ANNU,Middle,3,2,9.00,17.7,44.7,2.53,6.46,-28.48,6.29,5.6,1,1,0,0
Bobcat,May,2013,ANNU,Edge,3,3,12.00,22,38.9,1.77,23.73,-28.92,5.17,6.2,1,1,0,0
Bobcat,May,2013,ANNU,Edge,4,2,15.00,21.7,53.4,2.46,18,-27.25,6.94,5.5,1,1,0,0
Bobcat,May,2013,ANNU,Edge,4,1,11.00,16.5,16,0.97,11.25,-27.92,8.38,7.7,1,1,0,0
Bobcat,May,2013,ANNU,OffEdge,5,4,6.00,15.9,52.8,3.32,10.6,-28.73,7.74,8.4,0,1,0,0
Bobcat,May,2013,ANNU,Edge,3,4,12.00,21.4,12,0.56,19.04,-28.72,6.94,6.8,0,1,0,0
Bobcat,May,2013,ANNU,OffEdge,5,3,10.50,22,37.2,1.69,18.9,-28,6.42,6.9,1,0,0,0
Bobcat,May,2013,ANNU,Edge,3,2,4.50,18.2,37.8,2.08,3.82,-25.76,3.5,7.3,1,0,0,0
Bobcat,May,2013,ANNU,Edge,3,2,7.50,16.1,32,1.99,6.7,-26.7,7.52,6,1,0,0,0
Bobcat,June,2012,ANNU,Edge,1,1,5.50,19.6,25,1.28,1.5,-27.4,8.89,4.9,0,0,0,0
GrayFox,June,2012,ANNU,Middle,2,3,6.50,15.1,37.4,2.48,4.31,-28.47,6.39,10.1,1,0,0,0
GrayFox,June,2012,ANNU,Edge,1,1,11.50,10.3,30.8,2.99,2.23,-28.04,6.51,7.2,1,0,0,0
Bobcat,June,2012,ANNU,Middle,2,5,9.50,21.3,18.3,0.86,16.33,-28.56,7.54,6.7,0,1,0,0
Bobcat,June,2012,ANNU,Edge,5,3,12.00,18.7,30.3,1.62,13.19,-27.72,7.25,5,1,1,0,0
Bobcat,June,2012,ANNU,Middle,3,3,10.00,24.1,NA,NA,26.89,-27.15,3.46,5.5,0,1,0,0
Coyote,June,2012,ANNU,Edge,3,2,12.00,23.1,39.1,1.69,22.59,-22.19,18,6,1,1,0,0
Coyote,June,2012,ANNU,Edge,5,2,6.00,14.1,20.1,1.43,23.22,-19.67,15.48,7.8,1,1,0,0
Coyote,June,2012,ANNU,Middle,3,3,14.50,23.7,31.4,1.32,28.11,-22.43,15.37,6.7,1,0,0,0
Bobcat,June,2012,YOLA,Middle,2,2,7.00,17.1,27.1,1.58,13,-25.23,5.09,4.5,1,1,0,0
Bobcat,June,2012,YOLA,OffEdge,3,2,7.00,16.3,42,2.58,4.49,-27.92,5.56,10.4,0,1,0,0
Bobcat,June,2012,YOLA,OffEdge,4,4,8.50,20.9,37.3,1.78,21.64,-28.06,5.36,7.6,0,1,0,0
Coyote,June,2012,YOLA,Middle,4,1,17.00,17,53,3.12,9.12,-27.49,5.5,13.4,1,1,0,0
Bobcat,August,2013,ANNU,Edge,3,1,11.50,16.4,37.8,3.18,3.94,-26.82,6.52,5.5,1,0,0,0
GrayFox,August,2013,ANNU,Edge,3,2,9.50,17.8,18.8,1.06,5.38,NA,NA,NA,0,0,0,0
GrayFox,August,2013,ANNU,Edge,5,2,9.00,18.5,20,1.16,6.4,-28.67,3.9,12.3,1,0,0,0
GrayFox,August,2013,ANNU,Middle,5,3,7.50,16,20,1.25,6.23,-28.56,5.32,10.6,1,0,0,0
Bobcat,August,2013,ANNU,Middle,3,1,14.00,23.4,41.2,2.38,4.47,-29,7.63,7.2,1,0,0,0
GrayFox,August,2013,ANNU,Middle,3,4,6.00,16.8,31.4,1.83,4.4,-27.57,5.87,5.7,1,1,0,0
Bobcat,August,2013,ANNU,Middle,3,4,6.50,17.4,17.8,1.02,10.98,-28.84,3.79,7.5,0,1,0,0
Bobcat,August,2013,ANNU,Edge,3,2,11.50,18,15.9,1.06,13,-27.84,5.36,6,0,1,0,1
Bobcat,August,2013,ANNU,Edge,1,3,9.50,19.3,32.8,1.7,14.94,NA,NA,NA,0,1,0,0
Bobcat,September,2011,ANNU,Edge,1,3,5.00,17.9,NA,NA,9.51,-27.5,5.87,7,0,1,0,0
Coyote,September,2011,ANNU,Middle,3,5,2.50,18.1,NA,NA,18.26,-26.43,7.91,9.3,0,1,0,0
Bobcat,September,2011,ANNU,Middle,5,1,10.00,25.8,NA,NA,8.73,-26.83,5.97,7.4,1,0,0,0
Bobcat,September,2011,ANNU,Middle,5,1,10.00,22.2,NA,NA,25.9,-26.81,6.91,7.7,0,0,0,0
Coyote,September,2011,ANNU,Edge,5,3,5.00,20.1,NA,NA,14.46,-22.54,13.19,7.7,1,1,0,0
Coyote,September,2011,ANNU,Middle,4,2,9.00,17.8,NA,NA,10.26,-19.76,17.1,7.2,1,0,0,0
Bobcat,September,2011,ANNU,Middle,5,2,6.00,15.2,20.6,1.35,3.92,-27.81,5.24,8.4,0,0,0,0
Bobcat,September,2011,ANNU,Middle,5,3,6.00,19.3,NA,NA,14.55,-27.79,2.62,7.7,1,1,0,0
Bobcat,September,2011,ANNU,Middle,5,1,6.00,24.8,NA,NA,5.66,-28.15,5.87,8.5,1,1,0,0
GrayFox,September,2011,ANNU,Middle,4,2,7.50,7.8,67.7,8.68,2.05,-26.99,8.26,8.8,1,0,0,0
GrayFox,September,2011,ANNU,Middle,5,3,5.00,11.6,11.5,0.99,2.78,-27.27,3.9,19.1,0,0,0,0
GrayFox,September,2011,ANNU,Middle,3,5,5.00,9.8,9.6,0.98,3.4,-28.9,4.05,23.6,0,0,0,0
GrayFox,September,2011,ANNU,Middle,2,2,7.00,14.9,NA,NA,NA,-28.92,5.23,13.2,1,0,0,0
Bobcat,September,2011,YOLA,Middle,1,3,6.70,17.6,15,0.85,14.62,-27.95,7.28,5.8,0,1,0,1
Bobcat,October,2012,ANNU,Edge,1,3,6.00,18.1,2.4,1.62,11.62,-27.44,7.96,5.7,1,0,0,0
Bobcat,October,2012,ANNU,Edge,3,3,11.50,16.8,40.4,2.4,6.16,-27.65,5.79,8.6,1,0,0,0
Bobcat,October,2012,ANNU,Edge,1,3,12.00,15.7,2.3,1.48,5.15,-24.55,4.31,7,1,0,0,0
GrayFox,October,2012,ANNU,Edge,4,3,6.00,15.8,2.5,2.02,4.81,-28.97,5.56,6.3,1,1,0,0
GrayFox,October,2012,ANNU,OffEdge,1,2,9.50,17.3,NA,NA,6.77,-27.33,6.73,9.2,0,0,0,0
Coyote,October,2012,ANNU,Edge,1,2,11.00,30,56.8,1.89,0.94,-27.25,8.09,15.4,0,1,0,0
Coyote,October,2012,ANNU,Middle,3,3,16.00,24.8,36.7,1.48,21.25,-26.75,6.19,6.4,1,0,0,0
Coyote,October,2012,ANNU,OffEdge,3,4,14.00,15.2,39.7,2.61,12.91,-20.62,3.97,4.9,1,1,0,0
Bobcat,October,2012,ANNU,OffEdge,4,4,7.50,20,17.3,0.87,9.68,-28.29,5.98,6.7,0,1,0,0
Bobcat,October,2012,ANNU,Edge,3,3,11.00,24.7,28.8,1.17,5.93,-28.02,6.86,7.8,1,0,0,0
Bobcat,October,2012,ANNU,Middle,3,2,14.00,24.5,29.8,1.22,23.55,-27.52,5.84,7,1,1,0,0
Bobcat,October,2012,ANNU,OffEdge,3,6,7.00,16.1,2.3,1.27,11.48,-26.79,6.21,7,0,1,0,0
Coyote,November,2011,ANNU,Edge,4,3,3.10,22.9,19.9,0.87,24.01,-22.58,8.23,6.7,0,1,0,0
Coyote,November,2011,ANNU,OffEdge,3,1,4.50,NA,NA,NA,20.29,-22.69,13.32,10.4,0,0,1,0
Coyote,November,2011,ANNU,Middle,2,2,9.50,14.8,22.4,1.52,1.81,-26.45,8.92,7.7,1,0,0,0
Coyote,November,2011,ANNU,Middle,1,1,5.50,11,15.8,1.44,9.24,-22.46,14.59,9.6,0,0,0,0
Bobcat,November,2011,ANNU,OffEdge,4,2,11.50,20,25.9,1.3,9.66,-26.72,6.06,6.6,1,1,0,0
Coyote,November,2011,ANNU,OffEdge,1,3,7.00,21,24.6,1.17,32.75,-22.36,15.06,7,0,1,0,0
Coyote,November,2011,ANNU,OffEdge,1,4,6.50,24,91.5,0.81,53.7,-23.84,12.59,7,0,1,0,0
Coyote,November,2011,ANNU,Edge,3,1,12.00,16,43.2,2.7,13.93,-25.16,12.29,7.4,1,0,0,0
Coyote,November,2011,ANNU,Edge,3,4,10.50,20.4,15,0.74,9.03,-28.03,11.08,9.7,0,1,0,0
Bobcat,November,2011,ANNU,Edge,5,2,7.00,21,48.7,2.32,8.36,-27.45,4.87,6.6,0,1,0,0
GrayFox,November,2011,ANNU,Middle,1,2,6.00,15.8,15.7,0.99,4.13,-26.74,4.51,8.1,1,1,0,0
Bobcat,November,2011,ANNU,Edge,3,2,11.00,19,38.6,2.03,6.4,-25.16,6.65,7,0,1,0,0
GrayFox,November,2011,ANNU,OffEdge,4,1,14.00,17,38.9,2.29,4.24,-27.79,5.63,6.7,1,0,0,0
Bobcat,November,2011,ANNU,Middle,5,2,7.50,21.8,26.2,1.2,11.39,-27.92,6.85,6,1,0,0,0
Bobcat,November,2011,YOLA,Middle,1,5,14.50,17.8,9.1,0.51,15.8,-27.72,11.27,6.1,0,1,0,1
Coyote,November,2011,YOLA,Middle,4,1,12.00,20.6,36.9,1.79,36.84,-26.84,8.84,6.8,0,0,0,0
Coyote,November,2011,ANNU,Middle,3,3,11.50,22.9,49.6,2.17,4.92,-25.68,7.23,10.1,1,0,0,0
